num_loops,max_loop_depth,input_dependent_loops,constant_loops,nested_loop_pairs,estimated_polynomial_degree,cyclomatic_complexity,avg_loop_body_size,num_function_calls,range_linear,range_quadratic,range_constant_pattern,dependent_nested_loops,has_recursion,is_binary_recursion,has_divide_and_conquer_pattern,has_division_by_two,has_multiplicative_update,uses_sort,uses_heapq,uses_bisect,uses_list,uses_dict,uses_set,binop_count,compare_count,return_count,loop_depth_x_input,quadratic_signal,log_signal,recursion_signal,effective_input_degree,static_sublinear_score,static_linear_score,static_nlogn_score,static_polynomial_score
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.41417025743224717,-1.2381343127593192,-0.3774290754520283,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,3.6914584748635315,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,1.7503173327855737,-0.07598449813340609,0.5106939240105585,-0.43497980061214564,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.43497980061214564,2.465225351080547,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.30810596029531756,-1.2381343127593192,-0.43126432913336443,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,3.6914584748635315,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,3.348941540729214,0.08512499596165667,-0.3658035287571251,-0.43497980061214564,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.43497980061214564,2.465225351080547,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.26448060528352135,-0.4239904524247606,0.01591212177336428,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,0.2222155253893304,1.3835860542132938,1.9374868328454233,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,3.6914584748635315,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,0.8297533947334442,-0.2887070447407784,-0.05723638070321425,3.9244462555889243,0.7295629723419077,2.921061919121688,-0.23021459521301854,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.23021459521301854,-0.5100246397556488,0.3574417288128821,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.30810596029531756,-1.2381343127593192,-0.43126432913336443,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,3.6914584748635315,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,3.348941540729214,0.08512499596165667,-0.3658035287571251,-0.43497980061214564,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.43497980061214564,2.465225351080547,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.41417025743224717,-1.2381343127593192,0.0532529539986604,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,3.6914584748635315,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,3.157106635775977,-0.23709399222846883,-0.3658035287571251,-0.43497980061214564,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.43497980061214564,2.465225351080547,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.48661892648497057,-0.4239904524247606,-0.6420574705429642,-0.11264289378518319,-0.5184498470493697,-0.5341145263922039,1.2828584967586263,0.07272587072698732,1.614475310757407,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,3.6914584748635315,3.764343055271516,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,1.7503173327855737,1.857329431007347,3.140186282313609,-0.43497980061214564,-0.21998090367852,5.077293866229385,-0.1665097303468886,-0.43497980061214564,2.465225351080547,0.3574417288128821,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.41417025743224717,-1.2381343127593192,-0.32359382177069224,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,-0.27089563835252645,3.764343055271516,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,0.6632528713838984,-0.23709399222846883,0.5106939240105585,-0.43497980061214564,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.43497980061214564,2.465225351080547,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.41417025743224717,-1.2381343127593192,-0.32359382177069224,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,-0.27089563835252645,3.764343055271516,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,0.6632528713838984,-0.23709399222846883,0.5106939240105585,-0.43497980061214564,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.43497980061214564,2.465225351080547,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.30810596029531756,-1.2381343127593192,-0.3774290754520283,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,3.6914584748635315,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,3.604721414000196,0.08512499596165667,-0.3658035287571251,-0.43497980061214564,-0.21998090367852,2.3559265566117973,-0.1665097303468886,-0.43497980061214564,2.465225351080547,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.20204166315838798,-1.2381343127593192,1.3452990423507265,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,-0.27089563835252645,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,4.116281160542161,0.08512499596165667,0.29156956081863755,-0.43497980061214564,-0.21998090367852,-0.3654407530057904,-0.1665097303468886,-0.43497980061214564,1.8701753529133078,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
-0.7087572476864198,-1.426670576402235,-0.6420574705429642,-0.5839923212381272,-0.5184498470493697,-0.5341145263922039,-0.30810596029531756,-1.2381343127593192,1.0761227739440462,-0.5423091582866977,-0.12689706591127933,-0.41595657305261274,-0.1812540747078595,-0.2700266390770634,-0.17586311452816475,-0.07848671397789073,-0.27089563835252645,-0.2656506023274415,-0.5139940529625884,-0.07580980435789034,-0.09185831587566516,-1.205177353111339,-0.2887070447407784,-0.05723638070321425,3.284996572411468,-0.07598449813340609,0.29156956081863755,-0.43497980061214564,-0.21998090367852,-0.3654407530057904,-0.1665097303468886,-0.43497980061214564,1.8701753529133078,-0.6257537753878151,-0.4445309774445067,-0.8833628425143148
